Mito,Mito-IMS,Mito-Matrix,Mito-MIM,Mito-MOM,OXPHOS,mtComplexI,PlasmaMembrane,Golgi,Lysosome,LysoTMs,ER,Endosome,EndoType,Cytoplasm,Nucleus,Autophagy,Autophagy_det,SynGO,Endo_iN_curated_Hundley,SynapseSVs,Presynaptic,Postsynaptic,EndoDetailed,EndoDetailLoac,NeuroDev,EndoLyso,EarlyEndosome,RecyclingEndosome,SVfusion,Svendocytosis,Svexocytosis
AADAT,COX17,PDHA1,CYC1,SAMM50,NDUFS1,NDUFS1,AAK1,A3GALT2,AGA,0,FAM134A,ABCA2,early_endosome,AACS,NAA38,ACBD5,Other,AAK1,SCPEP1,ABI1,AAK1,ABHD17A,VTI1B,late,ATF1,SCPEP1,ABCA2,ABCB1,CACNA1B,ACTB,CACNA1E
AARS2,COA6,MRPL12,SDHB,MTCH2,CHCHD10,NDUFA6,ABCA8,A4GALT,ARSA,0,FAM134B,ABCB1,recycling_endosome,AAGAB,SKOR2,AMBRA1,Receptor,ABCC8,LAMTOR2,ABI2,ADD1;ADD2,ABHD17B,SLC11A2,Recycling,BDNF,LAMTOR2,ABCC5,ABHD17A,CACNG2,ACTG1,CACNB4
AASS,CMC2,ISCA2,COQ7,VDAC1,NDUFA6,NDUFA4,ABCB1,A4GNT,ARSB,0,FAM134C,ABCC5,early_endosome,AANAT,NCL,ATG10,Other,ABHD17A,CTSC,ACTB,AMPH,ABHD17C,VPS33B,late,CAMK2B,CTSC,ACSL4,ADAM9,CPLX1,AMPH,CASK
ABAT,CMC1,PMPCB,SDHA,MFN1,ATP5PF,NDUFS8,ABCB5,ABO,ASAH1,0,TEX264,ABHD17A,recycling_endosome,AARS1,TLE5,ATG101,Other,ABHD17B,PPT1,ACTG1,AP1G1,ABI1,BACE1,Early,CRTC1,PPT1,ADAMTS1,ADGRE5,CPLX2,AP1G1,CSPG5
ABCA9,CYCS,OGDH,UQCRC1,MTX2,NDUFA4,NDUFA1,ABCC1,ACER2,ATP13A2,0,SEC62,ACSL4,early_endosome,AARSD1,HAPSTR1,ATG12,Core,ABHD17C,SCARB2,AMPH,AP1S1,ABI2,SLC9A6,Early,CUX1,SCARB2,AFTPH,ANO6,CPLX3,AP2A1,DTNBP1
ABCB10,CLPB,PDHB,COQ5,VDAC2,COX6B2,NDUFB6,ABCC10,AP4B1,ATP6V0E1,2,CCPG1,ADAM9,recycling_endosome,AASDHPPT,ATXN7L3,ATG13,Core,ABHD6,NPC1,ANP32E,AP3B2,ABI3,SLC9A6,Recycling,DCX,NPC1,ANKFY1,APBB2,DOC2A,AP2A1,DVL1
ABCB6,HCCS,MRPS35,COQ9,TOMM7,COX7B2,NDUFV2,ABCC2,AP4E1,ATP6V0E2,2,RTN1,ADAMTS1,early_endosome,ABI3,TYK2,ATG14,Core,ABI1,STARD3,ANXA5,AP3D1,ABL2,MICALL1,Recycling,JUN,STARD3,ANKRD50,ARHGAP10,DOC2B,AP2A2,FBXL20
ABCB7,CHCHD10,MRPL53,ATP5F1D,TOMM40L,NDUFS8,NDUFC2,ABCC3,AP4M1,ATP6V1A,0,RTN2,ADGRE5,recycling_endosome,ABLIM3,ACBD6,ATG16L1,Core,ABI2,ASAH1,AP1B1,APBA2,ACTN1,WDR91,late,MAP2,ASAH1,AP1B1,ARL13B,ERC1,AP2B1,FBXO45
ABCB8,LACTB,DBT,COX5A,MTX1,SDHA,NDUFS4,ABCC4,AP4S1,ATP6V1B1,0,RTN3,AFTPH,early_endosome,ABTB1,HSPB9,ATG2A,Other,ABI3,LAMTOR3,AP1G1,APBB1,ACTR2,SNX16,late,MKI67,LAMTOR3,AP1G1,ATP11A,ERC2,AP2M1,GIT1
ABCD1,CCDC58,MDH2,UQCRFS1,TOMM22,UQCRB,NDUFV1,ABCC5,ARF4,ATP6V1B2,0,RTN4,ANKFY1,early_endosome,ACACA,H3C13,ATG2B,Other,ABL1,LIPA,AP1S2,APP,ACTR3,STX8,late,NANOG,LIPA,AP1G2,ATP11B,ITGB1,AP2S1,GIT2
ABCD2,CHCHD4,MRPS27,ATP5F1A,TOMM40,ATP5F1C,NDUFV3,ABCC8,ARFIP1,ATP6V1C1,0,ATL1,ANKRD50,early_endosome,ACAT2,SERPINB3,ATG3,Core,ABL2,LAMP1,AP2A1,APPL1,ADAM10,VPS18,late,NCAM1,LAMP1,AP1M1,ATP13A3,ITGB3,AP3B2,GPR151
ABCD3,COA5,CS,UQCRC2,DNAJC11,DLD,NDUFA8,ABCG2,ARFIP2,ATP6V1C2,0,ATL2,ANO6,recycling_endosome,ACBD6,KDM1A,ATG4A,Core,ABLIM1,ARL8B,AP2A1,ARF6,ADD1;ADD2,VPS16,late,NEFH,ARL8B,AP1S1,ATP6V0A1,MMP9,AP3M2,HTR1B
ABHD10,PRELID2,GRPEL1,SDHD,CISD1,ATP5ME,NDUFB9,ABCG5,ARFRP1,ATP6V1D,0,ATL3,AP1B1,early_endosome,ACLY,NUDT12,ATG4B,Core,ABLIM3,LAMP2,AP2A2,ARFGEF2,ADD2,VPS41,late,NEFL,LAMP2,AP1S2,ATP6V0D1,PRRT2,ARF6,HTR1D
ABHD11,SUOX,DLAT,UQCRQ,MTARC2,ATP5F1E,NDUFB1,ABCG8,ARL17A,ATP6V1E1,0,REEP1,AP1G1,early_endosome,ACO1,MYBBP1A,ATG4C,Core,ABR,BORCS6,AP2A2,ARPC2,AFDN,VPS26A,late,NEFM,BORCS6,AP1S3,ATP8B2,RAB3A,ARPC3,KCNH1
