"sample","day","genotype","neuron","replicate"
"aa03624_yh_fk_132_pool__1",30,NA,NA,NA
"aa03625_yh_fk_132_ctrl_DA_2",30,"ctrl","iDA",2
"aa03626_yh_fk_132_ctrl_iN_2",30,"ctrl","iN",2
"aa03627_yh_fk_132_GRN_DA_3",30,"GRN","iDA",3
"aa03628_yh_fk_132_GBA_DA_3",30,"GBA1","iDA",3
"aa03629_yh_fk_132_SMPD1_iN_3",30,"SMPD1","iN",3
"aa03630_yh_fk_132_SMPD1_DA_2",30,"SMPD1","iDA",2
"aa03631_yh_fk_132_pool__2",30,NA,NA,NA
"aa03633_yh_fk_132_ASAH1_DA_3",30,"ASAH1","iDA",3
"aa03634_yh_fk_132_GBA_iN_2",30,"GBA1","iN",2
"aa03635_yh_fk_132_GRN_iN_2",30,"GRN","iN",2
"aa03636_yh_fk_132_ctrl_DA_3",30,"ctrl","iDA",3
"aa03637_yh_fk_132_ctrl_iN_1",30,"ctrl","iN",1
"aa03638_yh_fk_132_SMPD1_iN_1",30,"SMPD1","iN",1
"aa03639_yh_fk_132_pool__3",30,NA,NA,NA
"aa03641_yh_fk_132_GBA_DA_2",30,"GBA1","iDA",2
"aa03642_yh_fk_132_GRN_DA_2",30,"GRN","iDA",2
"aa03643_yh_fk_132_SMPD1_DA_1",30,"SMPD1","iDA",1
"aa03644_yh_fk_132_ASAH1_DA_1",30,"ASAH1","iDA",1
"aa03645_yh_fk_132_SMPD1_iN_2",30,"SMPD1","iN",2
"aa03646_yh_fk_132_ASAH1_DA_2",30,"ASAH1","iDA",2
"aa03647_yh_fk_132_pool__4",30,NA,NA,NA
"aa03649_yh_fk_132_SMPD1_DA_3",30,"SMPD1","iDA",3
"aa03650_yh_fk_132_GRN_iN_3",30,"GRN","iN",3
"aa03651_yh_fk_132_GRN_DA_1",30,"GRN","iDA",1
"aa03652_yh_fk_132_GBA_iN_3",30,"GBA1","iN",3
"aa03653_yh_fk_132_ASAH1_iN_2",30,"ASAH1","iN",2
"aa03654_yh_fk_132_ctrl_DA_1",30,"ctrl","iDA",1
"aa03655_yh_fk_132_pool__5",30,NA,NA,NA
"aa03657_yh_fk_132_ASAH1_iN_1",30,"ASAH1","iN",1
"aa03658_yh_fk_132_GBA_iN_1",30,"GBA1","iN",1
"aa03659_yh_fk_132_GBA_DA_1",30,"GBA1","iDA",1
"aa03660_yh_fk_132_ctrl_iN_3",30,"ctrl","iN",3
"aa03661_yh_fk_132_GRN_iN_1",30,"GRN","iN",1
"aa03662_yh_fk_132_ASAH1_iN_3",30,"ASAH1","iN",3
"aa03663_yh_fk_132_pool__6",30,NA,NA,NA
"aa04194_yh_fk_d50_pool__1",50,NA,NA,NA
"aa04195_yh_fk_d50_pool__2",50,NA,NA,NA
"aa04196_yh_fk_d50_iDA_Ctrl_rep1",50,"ctrl","iDA",1
"aa04197_yh_fk_d50_iN_MFSD8_rep3",50,"MFSD8","iN",3
"aa04198_yh_fk_d50_iDA_CTSD_rep3",50,"CTSD","iDA",3
"aa04199_yh_fk_d50_iN_CTSD_rep3",50,"CTSD","iN",3
