"","aa03624_yh_fk_132_pool__1","aa03625_yh_fk_132_ctrl_DA_2","aa03626_yh_fk_132_ctrl_iN_2","aa03627_yh_fk_132_GRN_DA_3","aa03628_yh_fk_132_GBA_DA_3","aa03629_yh_fk_132_SMPD1_iN_3","aa03630_yh_fk_132_SMPD1_DA_2","aa03631_yh_fk_132_pool__2","aa03633_yh_fk_132_ASAH1_DA_3","aa03634_yh_fk_132_GBA_iN_2","aa03635_yh_fk_132_GRN_iN_2","aa03636_yh_fk_132_ctrl_DA_3","aa03637_yh_fk_132_ctrl_iN_1","aa03638_yh_fk_132_SMPD1_iN_1","aa03639_yh_fk_132_pool__3","aa03641_yh_fk_132_GBA_DA_2","aa03642_yh_fk_132_GRN_DA_2","aa03643_yh_fk_132_SMPD1_DA_1","aa03644_yh_fk_132_ASAH1_DA_1","aa03645_yh_fk_132_SMPD1_iN_2","aa03646_yh_fk_132_ASAH1_DA_2","aa03647_yh_fk_132_pool__4","aa03649_yh_fk_132_SMPD1_DA_3","aa03650_yh_fk_132_GRN_iN_3","aa03651_yh_fk_132_GRN_DA_1","aa03652_yh_fk_132_GBA_iN_3","aa03653_yh_fk_132_ASAH1_iN_2","aa03654_yh_fk_132_ctrl_DA_1","aa03655_yh_fk_132_pool__5","aa03657_yh_fk_132_ASAH1_iN_1","aa03658_yh_fk_132_GBA_iN_1","aa03659_yh_fk_132_GBA_DA_1","aa03660_yh_fk_132_ctrl_iN_3","aa03661_yh_fk_132_GRN_iN_1","aa03662_yh_fk_132_ASAH1_iN_3","aa03663_yh_fk_132_pool__6","aa04194_yh_fk_d50_pool__1","aa04195_yh_fk_d50_pool__2","aa04196_yh_fk_d50_iDA_Ctrl_rep1","aa04197_yh_fk_d50_iN_MFSD8_rep3","aa04198_yh_fk_d50_iDA_CTSD_rep3","aa04199_yh_fk_d50_iN_CTSD_rep3","aa04200_yh_fk_d50_iDA_ATP13A2_rep1","aa04201_yh_fk_d50_iDA_SMPD1_rep1","aa04202_yh_fk_d50_iDA_HEXB_rep2","aa04203_yh_fk_d50_iDA_HEXB_rep3","aa04204_yh_fk_d50_iN_TPP1_rep3","aa04205_yh_fk_d50_pool__3","aa04206_yh_fk_d50_iDA_NPC2_rep2","aa04207_yh_fk_d50_iDA_NPC1_rep3","aa04208_yh_fk_d50_iN_LIPA_rep1","aa04209_yh_fk_d50_iN_HEXB_rep1","aa04210_yh_fk_d50_iDA_CLN5_rep2","aa04211_yh_fk_d50_iN_GAA_rep1","aa04212_yh_fk_d50_iDA_HEXA_rep1","aa04213_yh_fk_d50_iDA_CLN8_rep3","aa04214_yh_fk_d50_iDA_GAA_rep1","aa04215_yh_fk_d50_pool__4","aa04216_yh_fk_d50_iN_CLN3_rep3","aa04217_yh_fk_d50_iN_CTSF_rep1","aa04218_yh_fk_d50_iN_GBA1_rep1","aa04219_yh_fk_d50_iDA_GAA_rep3","aa04220_yh_fk_d50_iN_CLN5_rep2","aa04221_yh_fk_d50_iDA_GAA_rep2","aa04222_yh_fk_d50_iDA_LIPA_rep3","aa04223_yh_fk_d50_iN_HEXA_rep1","aa04224_yh_fk_d50_iDA_ASAH1_rep2","aa04225_yh_fk_d50_pool__5","aa04226_yh_fk_d50_iDA_DNAJC5_rep2","aa04227_yh_fk_d50_iDA_NPC2_rep1","aa04228_yh_fk_d50_iN_Ctrl_rep1","aa04229_yh_fk_d50_iDA_NPC1_rep1","aa04230_yh_fk_d50_iDA_NPC1_rep2","aa04231_yh_fk_d50_iN_PSAP_rep2","aa04232_yh_fk_d50_iDA_MFSD8_rep2","aa04233_yh_fk_d50_iN_TPP1_rep1","aa04234_yh_fk_d50_iDA_GBA1_rep1","aa04235_yh_fk_d50_pool__6","aa04236_yh_fk_d50_iDA_PSAP_rep2","aa04237_yh_fk_d50_iN_CLN6_rep1","aa04238_yh_fk_d50_iN_HEXB_rep2","aa04239_yh_fk_d50_iN_CLN3_rep1","aa04240_yh_fk_d50_iDA_LIPA_rep1","aa04241_yh_fk_d50_iN_GRN_rep1","aa04242_yh_fk_d50_iN_CLN5_rep3","aa04243_yh_fk_d50_iDA_CLN8_rep2","aa04244_yh_fk_d50_iDA_CTSD_rep2","aa04245_yh_fk_d50_pool__7","aa04246_yh_fk_d50_iDA_ATP13A2_rep3","aa04247_yh_fk_d50_iDA_CLN6_rep1","aa04248_yh_fk_d50_iDA_PTT1_rep3","aa04249_yh_fk_d50_iN_CLN8_rep3","aa04250_yh_fk_d50_iN_DNAJC5_rep1","aa04251_yh_fk_d50_iN_SMPD1_rep1","aa04252_yh_fk_d50_iDA_Ctrl_rep2","aa04253_yh_fk_d50_iDA_CLN3_rep1","aa04254_yh_fk_d50_iDA_DNAJC5_rep3","aa04255_yh_fk_d50_pool__8","aa04256_yh_fk_d50_iN_GAA_rep2","aa04257_yh_fk_d50_iN_ASAH1_rep2","aa04258_yh_fk_d50_iN_CLN6_rep2","aa04259_yh_fk_d50_iN_GBA1_rep2","aa04260_yh_fk_d50_iN_MFSD8_rep2","aa04261_yh_fk_d50_iDA_ATP13A2_rep2","aa04262_yh_fk_d50_iN_MFSD8_rep1","aa04263_yh_fk_d50_iDA_CLN3_rep2","aa04264_yh_fk_d50_iN_HEXB_rep3","aa04265_yh_fk_d50_pool__9","aa04266_yh_fk_d50_iDA_ASAH1_rep1","aa04267_yh_fk_d50_iDA_CTSF_rep1","aa04268_yh_fk_d50_iN_Ctrl_rep3","aa04269_yh_fk_d50_iN_GRN_rep3","aa04270_yh_fk_d50_iDA_TPP1_rep2","aa04271_yh_fk_d50_iN_CLN5_rep1","aa04272_yh_fk_d50_iN_ASAH1_rep1","aa04273_yh_fk_d50_iN_NPC1_rep1","aa04274_yh_fk_d50_iN_PTT1_rep2","aa04275_yh_fk_d50_pool__10","aa04276_yh_fk_d50_iN_LIPA_rep3","aa04277_yh_fk_d50_iN_ASAH1_rep3","aa04278_yh_fk_d50_iN_MCOLN1_rep3","aa04279_yh_fk_d50_iN_CTSF_rep2","aa04280_yh_fk_d50_iN_GBA1_rep3","aa04281_yh_fk_d50_iDA_SMPD1_rep3","aa04282_yh_fk_d50_iN_MCOLN1_rep1","aa04283_yh_fk_d50_iN_CTSD_rep2","aa04284_yh_fk_d50_iDA_CLN6_rep2","aa04285_yh_fk_d50_pool__11","aa04286_yh_fk_d50_iDA_HEXA_rep2","aa04287_yh_fk_d50_iDA_MFSD8_rep3","aa04288_yh_fk_d50_iDA_PTT1_rep1","aa04289_yh_fk_d50_iDA_GRN_rep1","aa04290_yh_fk_d50_iN_SMPD1_rep3","aa04291_yh_fk_d50_iDA_CLN8_rep1","aa04292_yh_fk_d50_iDA_CTSF_rep2","aa04293_yh_fk_d50_iDA_CTSD_rep1","aa04294_yh_fk_d50_iN_DNAJC5_rep3","aa04295_yh_fk_d50_pool__12","aa04296_yh_fk_d50_iDA_PSAP_rep1","aa04297_yh_fk_d50_iDA_DNAJC5_rep1","aa04298_yh_fk_d50_iN_MCOLN1_rep2","aa04299_yh_fk_d50_iDA_GBA1_rep2","aa04300_yh_fk_d50_iDA_HEXB_rep1","aa04301_yh_fk_d50_iN_CTSF_rep3","aa04302_yh_fk_d50_iN_NPC2_rep1","aa04303_yh_fk_d50_iN_ATP13A2_rep1","aa04304_yh_fk_d50_iDA_CLN5_rep1","aa04305_yh_fk_d50_pool__13","aa04306_yh_fk_d50_iN_CTSD_rep1","aa04307_yh_fk_d50_iDA_MCOLN1_rep1","aa04308_yh_fk_d50_iDA_PSAP_rep3","aa04309_yh_fk_d50_iN_PSAP_rep3","aa04310_yh_fk_d50_iN_ATP13A2_rep3","aa04311_yh_fk_d50_iN_NPC1_rep3","aa04312_yh_fk_d50_iN_CLN8_rep1","aa04313_yh_fk_d50_iDA_GRN_rep3","aa04314_yh_fk_d50_iDA_CTSF_rep3","aa04315_yh_fk_d50_pool__14","aa04316_yh_fk_d50_iN_NPC2_rep3","aa04317_yh_fk_d50_iN_NPC2_rep2","aa04318_yh_fk_d50_iDA_GRN_rep2","aa04319_yh_fk_d50_iN_CLN6_rep3","aa04320_yh_fk_d50_iDA_CLN6_rep3","aa04321_yh_fk_d50_iN_Ctrl_rep2","aa04322_yh_fk_d50_iDA_MCOLN1_rep3","aa04323_yh_fk_d50_iN_LIPA_rep2","aa04324_yh_fk_d50_iN_CLN8_rep2","aa04325_yh_fk_d50_pool__15","aa04326_yh_fk_d50_iN_HEXA_rep2","aa04327_yh_fk_d50_iDA_GBA1_rep3","aa04328_yh_fk_d50_iN_PSAP_rep1","aa04329_yh_fk_d50_iN_PTT1_rep3","aa04330_yh_fk_d50_iN_GRN_rep2","aa04331_yh_fk_d50_iDA_ASAH1_rep3","aa04332_yh_fk_d50_iDA_TPP1_rep3","aa04333_yh_fk_d50_iDA_MCOLN1_rep2","aa04334_yh_fk_d50_iDA_NPC2_rep3","aa04335_yh_fk_d50_pool__16","aa04336_yh_fk_d50_iDA_CLN3_rep3","aa04337_yh_fk_d50_iN_DNAJC5_rep2","aa04338_yh_fk_d50_iDA_CLN5_rep3","aa04339_yh_fk_d50_iDA_Ctrl_rep3","aa04340_yh_fk_d50_iN_GAA_rep3","aa04341_yh_fk_d50_iN_TPP1_rep2","aa04342_yh_fk_d50_iDA_SMPD1_rep2","aa04343_yh_fk_d50_iDA_MFSD8_rep1","aa04344_yh_fk_d50_iN_HEXA_rep3","aa04345_yh_fk_d50_pool__17","aa04346_yh_fk_d50_iN_ATP13A2_rep2","aa04347_yh_fk_d50_iDA_PTT1_rep2","aa04348_yh_fk_d50_iN_SMPD1_rep2","aa04349_yh_fk_d50_iDA_HEXA_rep3","aa04350_yh_fk_d50_iDA_TPP1_rep1","aa04351_yh_fk_d50_iN_CLN3_rep2","aa04352_yh_fk_d50_iN_NPC1_rep2","aa04353_yh_fk_d50_iN_PTT1_rep1","aa04354_yh_fk_d50_iDA_LIPA_rep2","aa04355_yh_fk_d50_pool__18","aa04356_yh_fk_d50_pool__19"
"1",696392,807368,521495,642934,700226,635166,589891,738898,610533,638824,600638,582286,590941,620573,775799,421311,662819,700027,700841,764510,613371,765814,641382,455897,657558,682442,502677,618992,702364,688467,570699,685677,731255,793099,647816,640595,689567,723320,778275,720318,404017,741931,517106,561188,522447,592451,789355,592831,509164,855124,687705,748833,847062,658168,561078,774124,564480,637386,865467,631766,592420,741287,654851,818820,636115,872708,783301,672823,656842,704365,645158,769728,798552,803351,713471,760055,651264,639319,530857,869414,738536,865685,617883,792169,800467,712331,583121,841719,611985,659976,678116,592215,656104,626722,546204,674143,686037,413686,649162,627686,622098,548323,638769,599470,767929,575552,717471,581915,425762,650955,536576,581685,640809,785189,605134,643264,553296,695988,637770,594263,759830,596869,490413,555413,573914,557955,590963,706020,746428,718638,644366,487967,532431,768787,718198,642061,725071,477794,700084,665797,677353,781940,520289,542256,607756,541694,737776,713935,659533,488983,423201,569858,563150,860454,660802,692943,501585,869826,634753,538000,519967,732250,486985,479271,651575,749675,603114,739885,755635,460555,570847,555580,646926,736683,618052,625581,399255,621915,640864,505828,611994,552108,715644,651277,525374,653769,782766,677693,535473,713057,524954,832312,484610,696753,736849,534672,692856,538020,544382
"3",4477910,5158640,3564230,4479940,5501520,3224290,4428340,3980230,4383790,2877840,3520230,5269570,3331750,2575350,4099200,4891580,4474400,5176600,4935170,3024050,5175540,3961050,5590110,3060850,4631830,2907050,2699130,5376640,3720560,2637990,3251500,4457930,3553900,3337390,3194410,4187600,3320580,3884520,4092880,3409670,5229190,3827930,4159960,4253730,4582250,5036160,4212970,3499610,4360290,4295180,3323680,3094520,4714680,3452460,4018390,4736360,4654260,3375390,3312700,2856090,2793270,3896390,2390500,4516900,4079070,2894770,4169050,4040060,3834680,3063240,4051740,4154920,3862490,4261250,3574730,3385050,3534840,3146750,5864890,3433300,3363880,3004320,3297110,3001020,2799660,3972010,5476240,4328630,4951120,6321140,4360600,3882140,3580850,3708440,5169160,4210050,3765740,4014840,3794930,4241380,3928270,3712240,3656600,4759640,3641320,3935590,3628550,3809460,3940930,4084620,4234940,3806260,4560840,3089730,3686850,3988820,2989330,4253410,5155340,3621700,3758290,3851450,3559640,4605150,3360520,4417410,5145500,4399890,5214540,4156250,3806040,4811210,4486720,4155430,4847350,5509010,4437560,3954200,5310150,3708140,3703120,4775220,4984040,4550150,3243300,3962610,4672440,4106540,3935260,4506200,6576360,4161880,3981640,3923120,3888470,4899270,5488510,3874770,3687870,3342410,3967130,3695370,5861380,4329300,4654650,4709260,4431720,4248580,4837070,4432070,3828040,3349230,3420400,5229510,4728570,5032410,5233560,3550890,4761750,3997770,3957220,4528450,3716550,3462870,5312750,3691490,4550490,4048660,3555970,4341110,3457860,5190490,4856860,3357650,4115640,3485370,5767640,4144110,3972740
"5",36747.6,NA,51554.4,53966,37380.2,36541,20868.2,19474.1,NA,76324.6,49997.1,45620.4,45792.7,70379.5,52701.9,49685.7,62211.3,NA,46171.2,64011.8,60893.3,17707.2,42839.1,NA,58012,78780.6,65822,45806.8,64740.2,77845,NA,47817.2,63108.2,52980.2,71477.6,NA,37044.5,48355.2,NA,36044.9,NA,55459.4,45913,30359.6,40591.7,NA,66120.1,38408.1,42258,49635,55193.5,59412.1,40707,43436.8,38838.3,59235.7,42111.1,48312.9,73682.6,48006.5,70373.1,39384.2,45298.3,26058.7,73064.3,40058.5,55349,40182.9,38990.2,32616.7,53311.7,41511.1,40608.8,79666.6,42346.5,63640.6,22465.9,49724.1,99899.5,52733.6,53283.6,53775.8,26307,NA,36557.2,NA,61770,33737.3,58494.7,34140,22294,NA,50977.9,NA,NA,34424.8,41582.9,52229.4,61519.6,93707.1,82447,97188.8,63304.3,34838.2,54630.6,50542.8,57728,50222.2,54246.1,43281.5,37174,38917.7,39020.1,NA,91819.3,33422.9,55419.9,64642.2,42911.2,NA,34883.6,NA,37663.7,NA,62359.5,56888,NA,61880.7,41990.6,51622.4,22740.4,63965.5,75964.4,NA,49910.2,43562.9,65592.3,89297.2,44034.6,65789.5,72896.7,39709,47047.1,73439.2,39063,53860,53580.4,52313.7,NA,NA,NA,54093.6,36886.5,NA,42202.3,NA,NA,81633.7,28917.9,NA,25463.4,NA,NA,NA,NA,49847.1,60714.6,56421,36262.2,56026.6,64264.1,69479.7,76558.7,NA,NA,NA,47717.4,49286.8,41652.1,64848.6,21392.7,65272,66985.8,63746.9,57995.5,NA,50187.6,53347.9,56018,NA,92927.6,54750.7,62324.2,52600.9,61173.1,43764.8,41820.5,36769.9,NA
"6",2744350,2331910,3075000,2327740,2209520,3239590,2379250,2649160,2250520,2939600,3145240,2361520,2866100,2923690,2614650,2231680,2475840,2436410,2451920,2986490,2342960,2550150,2559910,3501500,2535770,3176390,3085550,2828040,2701110,3388760,2832290,2638360,3158220,3300590,3513100,2741750,2988450,3036080,2985420,3653450,2838690,3422390,2590350,2968600,2755980,3105650,2992880,3208930,2638920,2572120,2913320,3123130,2433380,3141150,3090070,3124560,2690200,3066680,3638480,3039850,3055990,2408090,3738650,2465200,2503270,3232080,2689020,2727370,2699570,2546200,3107750,2900220,2585050,2972800,2685240,3171230,2601250,2718760,2537000,3878260,2913920,3536790,2704950,3301350,3498100,2917250,2746230,2870830,2353910,2844540,2552620,2762840,3445500,2958660,2623510,2196740,2478930,2954060,3206870,3236310,4010400,2964850,3761770,2476280,3671960,2345770,3145730,2850530,2677140,2475360,2932340,3385820,2480550,3707680,3070110,3412150,3567570,2725190,2674690,2844560,3789030,2621730,2762400,2552980,3769370,3344040,2410320,2876840,2511300,2740130,2651930,2640650,3025330,2924490,2438340,2938880,3313350,2937270,2864800,2955780,4247870,2644710,3143020,3121550,3924390,3066300,2663370,2927000,2896620,2576460,2355310,2932500,2877340,3246690,2897170,2387970,2075380,2735470,3297830,3622820,2416660,3588010,2533010,2733960,2761170,2765220,2741550,2863400,3072260,2635710,3121160,3310260,3106340,2755170,2405220,2780520,2683410,2691700,2360670,3497250,2437830,2568210,3134240,2961680,3088410,2910230,3214640,2910280,2888800,2445840,2955880,2794560,2654730,3826010,3378820,3377800,2700880,2864350,2882050
"7",124281,31351.9,194358,43486.8,20044.3,167430,28009.5,103523,28364.8,129544,121025,29815.9,127340,118050,90075.6,40044.3,NA,51472.2,26801.2,124381,NA,91591.9,48165,107807,32411.1,142330,82345.5,NA,82972.1,91162.7,157968,42164.6,160697,103501,97319.3,85445,138578,143547,24967.6,111438,31478.7,135576,34174.7,23978.1,30628.7,25569.7,115209,98867.9,NA,21548.8,122893,127239,45016.1,118348,NA,31049.6,32191,122576,66748.1,111279,140403,NA,63578.2,37127.3,NA,124337,46933,112155,43722.1,16753.1,159491,26953.6,NA,168450,35807.8,149770,31099.9,93660.1,17305.5,114462,135540,32097.9,21376.4,94336.9,68061.6,34087.9,NA,147802,NA,NA,NA,113888,87097.9,140905,53079.7,NA,16662.3,117082,134657,151206,100918,154578,99963,41088.4,104779,42957.9,152551,124827,29693.6,NA,162673,105450,57215.3,48429.1,115083,79271,65989,100522,134369,116931,64418.4,97150.8,127963,24689.5,55706,120264,18484.7,86630.8,NA,45151.6,32751.6,45681.1,188718,41438.1,36322.8,42617.9,126211,107814,24264,23734.2,91996.3,27916.7,35869.2,146698,61275.9,140812,29308.8,108201,111127,25931.1,34349.4,189070,126443,135639,148165,16529.2,40802,168318,74889.9,74740.1,17635,100881,31746.3,178633,42751.4,151634,186348,112256,205984,34314.9,152536,107719,92081.3,NA,26901.6,42495.7,47733.8,132594,36618.4,137447,24227.4,28965.3,134513,107466,22561.6,25278.6,171010,121252,145612,NA,149341,NA,36375.1,68857.9,90250.9,93138.9,30991.2,107176,95351.6
"8",81270.8,134778,81380,75300.1,131158,95603.8,101398,98979.1,137963,101347,75983.2,72380.2,77571.1,118008,72634.8,96947.2,113833,77300,117086,97676.8,170372,95425.7,108465,61551.8,84694.9,120728,127296,86424,88871.2,109464,92832,113579,65973.3,85826.3,121969,79910.6,70144.4,69600.8,125781,80923.7,99053.4,81902.1,139081,79172.2,172658,172830,90475.3,67451.3,62365.6,137285,74785.4,102470,70546.2,96441.5,133442,180681,133701,98840.7,109763,122510,131782,130845,139930,137592,183044,103882,184629,78703.4,160302,65701.9,95373.9,224116,163986,78525.8,159012,98928.7,139410,79437.8,118917,95313.2,131354,128035,155200,88685.2,126023,193337,103544,72694.6,163604,90813.5,139609,112309,96135.3,84243.6,95997.1,112090,131698,60127.2,80640.2,85602.4,110584,143595,113560,136721,95188.4,84174.7,128245,46715.1,117255,99819.5,52592.7,76039.2,75013.2,126123,72535.3,91123.7,113823,55559.1,90922.3,117939,140328,109130,135898,120917,124025,92147.4,87296.9,64471.7,149529,122815,114705,63393.9,99779.8,182213,115369,126104,84014.1,71106.8,100551,156586,123499,178973,140980,73793.1,87751.4,94757.5,70148.4,63006,112244,91187.3,128407,76684.2,149623,130541,109638,61482.1,147701,77968.8,99341.1,86652.3,97090.7,94694.1,97200.6,82717.7,77013.2,83480.2,106826,95358.8,79673.8,164691,59881.2,148913,95919.4,125650,141406,104906,74947.7,80215.7,61473.9,86223.3,71458.1,74691.4,60664.7,82891.1,118273,132831,71219.8,79797.6,114656,115077,84999.7,123786,95862.4,106344,116178,120584,116425,79764.5,77254.9
"9",1268130,1618560,1128730,1197810,1420150,1262530,1372490,1341820,1423100,1415130,1204290,1454570,1274100,1240460,1329330,1520840,1306420,1428040,1484470,1268430,1510720,1293150,1520720,1182190,1544790,1431340,1296560,1418380,1277860,1371270,1212350,1593330,1327780,1229860,1538010,1291520,1311090,1317920,1524160,1490530,1558200,1225790,1537660,1573420,1665890,1719980,1259900,1248420,1506130,1588270,1366230,1490460,1482080,1337710,1821790,2120770,1534710,1250810,1578730,1214340,1384230,1455710,1560000,1562680,1456100,1338570,1461410,1229090,1844710,1685200,1204670,1716020,1619710,1139640,1891220,1311770,1780210,1082160,1431520,1353540,1485280,1547770,1764730,1290750,1477820,1757620,1484340,1173640,1526260,1496130,1822840,1339300,1540510,1225270,1498040,1435140,1819460,1225130,1309320,1150740,1344260,1440540,1382050,1423970,1528360,1543040,1475660,1319300,1616620,1630320,1262690,1247380,1541050,1552680,1324180,1360790,1530000,1347680,1503380,1241280,1565510,1327500,1245330,1485170,1585340,1376440,1432310,1191530,1650810,1862010,1739840,1075540,1238540,1809230,1468680,1576560,1447400,1220360,1427540,1784950,1380280,1708060,1766560,1231370,1369370,1229700,1492920,1175990,1407950,1657640,1465440,1111670,1256510,1376020,1334090,1304250,1479130,1295940,1324580,1342450,1038590,1200180,1355620,1214910,1552520,1408280,1234680,1201390,1252560,1503050,1200630,1311610,1273640,1330540,1415080,1713250,1377960,1260440,1524990,1310700,1452080,1277560,1239930,1122050,1421500,1808750,1222420,1289680,1101710,1616710,1103580,1623930,1384060,1451930,1476430,1360420,1557020,1232450,1177580
"10",32425.1,88988,NA,171167,164711,56268.2,72588.7,NA,75770.3,NA,NA,108255,NA,NA,63399.7,97536.5,104541,55107.7,68595.6,NA,137338,NA,119043,29355.8,179552,NA,48232.6,73027.6,NA,68388,NA,64584.3,NA,NA,NA,NA,100209,103633,126878,148758,213543,165370,184509,172780,NA,218417,152584,153741,183386,202872,130183,101442,151915,88443.4,209891,251953,172919,150969,174318,172784,158064,140035,194398,153224,186222,97886.8,329046,NA,306281,237771,88183.4,194072,330231,121139,206138,151166,304818,106796,193335,139475,241843,99943.2,242827,105907,176582,229975,214306,150285,172826,NA,205856,100058,154869,121671,169772,169391,248727,250420,155032,94730.3,91753.5,129233,112023,170182,149184,177233,114341,81467.2,113466,140290,93162,151380,140057,106000,127018,106030,169573,144047,135617,154041,140976,106829,172724,181905,146025,160014,158002,NA,267175,232405,192147,197344,119685,146203,135471,190431,131523,129558,143782,224513,169994,240287,152711,125995,117564,140202,149315,113533,148742,235255,104739,123812,152616,121374,163270,157458,145791,89100,123221,181792,136875,87634.8,145454,98470.3,150473,123517,NA,63539.4,NA,168065,91097.1,195175,145845,144531,111522,121384,143161,139832,123294,105888,160524,146443,133361,116686,161359,178097,80402.8,130450,114687,166889,163738,241637,165388,123330,130775,123203,134115,136627,86529.3
"11",539469,332317,489860,333542,234528,750695,279213,444363,351630,568090,487460,362433,565288,322570,465616,249297,412767,289083,287621,520152,275392,512213,325632,616456,280965,568571,404275,310993,550904,387796,486772,360859,647825,481451,503295,528131,410019,428669,305801,429844,361021,599263,239418,270567,369656,302159,723962,513073,444293,272154,467395,535125,276534,580592,280337,189933,290316,521512,230459,490626,467148,416202,270748,314576,284957,649800,266096,519273,258561,270332,688397,380210,384660,565447,326594,597695,181008,483987,270319,412135,676016,238151,293740,462068,357271,255730,527051,477108,226915,400365,314878,565184,318533,391457,221066,328191,220773,387029,584609,437131,519068,408364,475255,245842,496287,273077,651423,460515,265216,375546,662934,452743,370547,301381,397310,567413,300921,374002,687361,488475,255804,541952,438931,349591,335668,496680,376386,349232,338142,356931,254727,445826,634462,238360,377257,414252,323887,380091,273081,189295,382071,202374,210330,498027,258647,647244,438108,301753,566480,343402,209994,669846,483407,520159,535909,357918,356123,498331,341616,318223,357559,329576,392724,525895,419607,640466,496693,360059,811736,228030,379898,331246,441864,373109,242994,339998,334469,485185,246269,352756,286710,266126,537443,507320,393122,362373,736135,398992,554958,409027,601194,319268,305384,201895,561391,432054,265072,435317,291476
"12",NA,13778.3,NA,NA,NA,NA,16472.7,NA,20029.4,NA,NA,17771.7,NA,8018.18,NA,NA,NA,32150.4,NA,NA,15697.2,NA,NA,NA,NA,NA,NA,17921.3,NA,NA,NA,49165.6,NA,NA,NA,3725.6,13483.3,8749.2,15829.2,6263.27,24708.7,NA,27915.7,18427.1,20673.3,18912.8,17477.3,NA,37026.6,13003.5,NA,NA,19929.6,NA,17251.6,NA,16680.7,17367.2,8350.61,20097.5,22269.6,NA,29281.6,24794.6,24457,NA,18624.7,27445.1,23599.5,45804.8,14038.6,18675.7,35840.2,11011.2,27145.5,8849.44,24461.7,13194.7,31620.2,17263.7,NA,NA,33169.8,14779.3,NA,25155.3,NA,28769.1,33602.7,32810.5,22477.5,10461.6,10967.3,NA,NA,38420.8,14084.9,NA,NA,NA,NA,NA,12520.9,22398.7,NA,28440.5,NA,NA,25584.1,17909,NA,14961.9,32102.9,NA,NA,10053.4,NA,NA,NA,NA,19148,NA,NA,NA,11889.3,NA,24238.1,NA,NA,16697.3,60358.2,32038.3,NA,18276.9,NA,21335.3,NA,12068.3,18641.2,37158.3,21261.8,23009,NA,NA,NA,15818.8,32179.4,16231.9,22514.7,45010.5,32270,15198,NA,NA,NA,54659.8,36873,12684.5,NA,12963.9,32706.8,11037.7,17050.8,13997.2,37907.6,14251.3,NA,18332.5,NA,37651.4,19204.7,NA,NA,26125.9,NA,20612.1,16776.2,17012.2,27798.6,16467.8,19786.7,NA,NA,NA,36050.1,17723.7,NA,14448.1,NA,29617.5,18416.7,17537.1,NA,19070.9,NA,25814.5,NA,NA,NA
